umls_code,mesh_code
C0020615,D007003
C0020619,D007006
C0020621,D007008
C0020623,D007009
C0020625,D007010
C0020626,D007011
C0020630,D007014
C0020635,D007018
C0020649,D007022
C0020651,D007024
C0020672,D007035
C0020676,D007037
C0020678,D007039
C0020683,D012769
C0020725,D009081
C0020757,D007057
C0020758,D017490
C0020796,D008607
C0020800,D011504
C0020877,D007079
C0020951,D007105
C0020981,D007119
C0021051,D007153
C0021053,D007154
C0021122,D007174
C0021124,D010554
C0021139,D010554
C0021141,D007177
C0021171,D007184
C0021290,D007232
C0021295,D007235
C0021308,D007238
C0021359,D007246
C0021361,D007247
C0021364,D007248
C0021367,D018270
C0021368,D007249
C0021390,D015212
C0021400,D007251
C0021603,D007319
C0021655,D007333
C0021670,D007340
C0021712,D009207
C0021776,D007174
C0021818,D007405
C0021831,D007410
C0021841,D007414
C0021843,D007415
C0021845,D007416
C0021846,D007417
C0021847,D007418
C0022104,D043183
C0022107,D007508
C0022116,D007511
C0022283,D010859
C0022333,D012640
C0022336,D007562
C0022340,D009472
C0022350,D007566
C0022353,D007567
C0022354,D041781
C0022360,D007569
C0022387,D029593
C0022408,D007592
C0022410,D007593
C0022492,D019965
C0022521,D007619
C0022541,D007625
C0022548,D007627
C0022568,D007634
C0022578,D007640
C0022584,D015776
C0022593,D007642
C0022594,D007642
C0022595,D007644
C0022603,D017492
C0022610,D007647
C0022650,D007669
C0022658,D007674
C0022660,D058186
C0022661,D007676
C0022665,D007680
C0022672,D007683
C0022679,D052177
C0022680,D007690
C0022682,D010020
C0022716,D007706
C0022738,D007714
C0022739,D007715
C0022783,D007724
C0022797,D009472
C0022802,D007729
C0022821,D007738
C0022876,D007752
C0022904,D007766
C0022906,D007767
C0022972,D015624
C0023003,D015826
C0023012,D007805
C0023014,D007805
C0023015,D007806
C0023055,D007822
C0023092,D007835
C0023138,D007849
C0023176,D007855
C0023186,D007859
C0023195,D007863
C0023212,D006333
C0023213,D000092242
C0023241,D007877
C0023264,D007888
C0023267,D007889
C0023269,D007890
C0023281,D007896
C0023283,D016773
C0023290,D007898
C0023308,D007905
C0023343,D007918
C0023374,D007926
C0023380,D053609
C0023418,D007938
C0023434,D015451
C0023437,D015471
C0023440,D004915
C0023443,D007943
C0023448,D007945
C0023452,D054198
C0023453,D054198
C0023461,D007946
C0023462,D007947
C0023465,D007948
C0023466,D007951
C0023467,D015470
C0023470,D007951
C0023472,D015465
C0023479,D015479
C0023480,D015477
C0023481,D015467
C0023485,D015452
C0023487,D015473
C0023492,D015458
C0023493,D015459
C0023494,D015461
C0023510,D007960
C0023518,D007964
C0023521,D007965
C0023522,D007966
C0023530,D007970
C0023531,D007971
C0023532,D007972
C0023601,D007984
C0023743,D008039
C0023772,D008052
C0023786,D008059
C0023787,D008060
C0023794,D008064
C0023795,D008065
C0023798,D008067
C0023801,D008068
C0023804,D008069
C0023806,D009081
C0023817,D008072
C0023827,D008080
C0023860,D008088
C0023869,D020347
C0023882,D002547
C0023890,D008103
C0023891,D008104
C0023892,D008105
C0023893,D008106
C0023895,D008107
C0023896,D008108
C0023897,D008109
C0023903,D008113
C0023904,D008114
C0023931,D010013
C0023944,D000080422
C0023976,D008133
C0024031,D017116
C0024115,D008171
C0024117,D029424
C0024121,D008175
C0024131,D008177
C0024138,D008179
C0024141,D008180
C0024143,D008181
C0024232,D008207
C0024236,D008209
C0024291,D051359
